date,etf_code,etf_name,label_next_return,model_score,momentum_10d,momentum_5d,vol_score,model_norm,pred_score,pred_rank,actual_rank
2025-01-06,159607,储能ETF,-2.6,0.0011099434023641973,0.9142857142857143,0.9428571428571428,0.2,0.26262878822358693,0.7536800325192523,3.0,35.0
2025-01-06,159611,电力ETF,-0.73,-0.01013589373887368,0.8285714285714286,0.8,0.45714285714285713,0.0,0.6585714285714286,8.0,31.0
2025-01-06,159740,人工智能ETF,-1.35,-0.01013589373887368,0.9714285714285714,0.8857142857142857,0.3142857142857143,0.0,0.7342857142857143,5.0,33.0
2025-01-06,159766,旅游ETF,0.45,-0.01013589373887368,0.3142857142857143,0.37142857142857144,0.05714285714285714,0.0,0.2585714285714286,27.0,26.0
2025-01-06,159825,农业ETF,0.47,-0.01013589373887368,0.7428571428571429,0.6857142857142857,0.9428571428571428,0.0,0.6342857142857143,10.0,25.0
2025-01-06,159869,游戏ETF,2.27,-0.01013589373887368,0.02857142857142857,0.14285714285714285,0.4,0.0,0.09571428571428572,34.0,7.0
2025-01-06,159901,深证100ETF,0.82,-0.0012279035551522705,0.7142857142857143,0.6,0.7428571428571429,0.2080320600482076,0.6069190947215168,11.0,18.0
2025-01-06,159915,创业板ETF,0.71,-0.0012279035551522705,0.37142857142857144,0.4,0.7142857142857143,0.2080320600482076,0.38977623757865976,21.0,20.0
2025-01-06,159928,消费ETF,0.26,-0.0012279035551522705,0.6857142857142857,0.7428571428571429,0.02857142857142857,0.2080320600482076,0.5654905232929455,13.0,28.0
2025-01-06,510050,上证50ETF,0.59,-0.01013589373887368,0.8857142857142857,0.8571428571428571,0.8,0.0,0.7357142857142858,4.0,23.0
2025-01-06,510300,沪深300ETF,0.72,-0.01013589373887368,0.8,0.7714285714285715,0.8285714285714286,0.0,0.6742857142857143,7.0,19.0
2025-01-06,510500,中证500ETF,1.07,-0.0012279035551522705,0.42857142857142855,0.45714285714285713,0.37142857142857144,0.2080320600482076,0.39834766615008826,20.0,16.0
2025-01-06,512010,医药ETF,-1.43,-0.01013589373887368,0.7714285714285715,0.8285714285714286,0.5714285714285714,0.0,0.6528571428571429,9.0,34.0
2025-01-06,512100,中证1000ETF,1.47,-0.01013589373887368,0.2,0.3142857142857143,0.9142857142857143,0.0,0.2757142857142857,26.0,14.0
2025-01-06,512170,医疗ETF,-0.63,-0.0012279035551522705,0.5714285714285714,0.6285714285714286,0.8571428571428571,0.2080320600482076,0.5626333804358026,14.0,30.0
2025-01-06,512200,房地产ETF,0.87,-0.0012279035551522705,0.14285714285714285,0.42857142857142855,0.17142857142857143,0.2080320600482076,0.24120480900723112,28.0,17.0
2025-01-06,512400,有色金属ETF,1.97,-0.01013589373887368,0.9428571428571428,1.0,0.9714285714285714,0.0,0.8214285714285714,2.0,9.0
2025-01-06,512480,半导体ETF,4.49,-0.01013589373887368,0.17142857142857143,0.08571428571428572,0.34285714285714286,0.0,0.13714285714285715,31.0,1.0
2025-01-06,512580,环保ETF,-0.32,-0.0012279035551522705,0.6571428571428571,0.7142857142857143,0.42857142857142855,0.2080320600482076,0.5840619518643739,12.0,29.0
2025-01-06,512660,军工ETF,1.78,-0.0012279035551522705,0.2857142857142857,0.2,0.6571428571428571,0.2080320600482076,0.2854905232929454,25.0,12.0
2025-01-06,512670,国防ETF,1.56,-0.0012279035551522705,0.34285714285714286,0.2857142857142857,0.2571428571428571,0.2080320600482076,0.29691909472151684,24.0,13.0
2025-01-06,512690,白酒ETF,0.7,0.03268438204773896,0.45714285714285713,0.5142857142857142,0.14285714285714285,1.0,0.5242857142857142,17.0,21.5
2025-01-06,512720,计算机ETF,2.11,-0.01013589373887368,0.08571428571428572,0.02857142857142857,0.2857142857142857,0.0,0.07571428571428572,35.0,8.0
2025-01-06,512760,芯片ETF,4.41,-0.01013589373887368,0.2571428571428571,0.17142857142857143,0.08571428571428572,0.0,0.17571428571428568,30.0,2.0
2025-01-06,512800,银行ETF,0.55,-0.01013589373887368,1.0,0.9714285714285714,1.0,0.0,0.8414285714285714,1.0,24.0
2025-01-06,512880,证券ETF,1.11,-0.01013589373887368,0.22857142857142856,0.11428571428571428,0.8857142857142857,0.0,0.2257142857142857,29.0,15.0
2025-01-06,512980,传媒ETF,1.8,-0.01013589373887368,0.05714285714285714,0.2571428571428571,0.11428571428571428,0.0,0.11428571428571428,33.0,11.0
2025-01-06,515000,科技ETF,2.6,-0.01013589373887368,0.4857142857142857,0.34285714285714286,0.22857142857142856,0.0,0.3442857142857143,22.0,6.0
2025-01-06,515030,新能源车ETF,0.7,-0.01013589373887368,0.5428571428571428,0.5714285714285714,0.5142857142857142,0.0,0.46714285714285714,18.0,21.5
2025-01-06,515050,5GETF,3.18,-0.01013589373887368,0.4,0.22857142857142856,0.5428571428571428,0.0,0.3028571428571429,23.0,3.0
2025-01-06,515220,煤炭ETF,-0.85,-0.01013589373887368,0.8571428571428571,0.9142857142857143,0.6285714285714286,0.0,0.7228571428571428,6.0,32.0
2025-01-06,515790,光伏ETF,0.41,-0.0012279035551522705,0.6,0.5428571428571428,0.7714285714285715,0.2080320600482076,0.5412048090072311,16.0,27.0
2025-01-06,516150,稀土ETF,1.9,-0.01013589373887368,0.6285714285714286,0.6571428571428571,0.6857142857142857,0.0,0.5485714285714286,15.0,10.0
2025-01-06,516510,云计算ETF,2.69,-0.01013589373887368,0.11428571428571428,0.05714285714285714,0.6,0.0,0.12857142857142856,32.0,5.0
